pos_x,pos_y,angle,target_x,target_y
12,2,0.27786464317184073,3.793438844523676,-0.42508877767249054
11,1,0.1875718180462953,3.793438844523676,-0.42508877767249054
10,0,0.05404129401279785,3.793438844523676,-0.42508877767249054
9,-1,-0.10805278762536852,3.793438844523676,-0.42508877767249054
8,-2,-0.35055454100003997,3.793438844523676,-0.42508877767249054
7,-3,-0.6712336808827788,3.793438844523676,-0.42508877767249054
6,-4,-1.0306397109796375,3.793438844523676,-0.42508877767249054
5,-5,-1.3042538762378277,3.793438844523676,-0.42508877767249054
4,-6,-1.5267080275769025,3.793438844523676,-0.42508877767249054
3,-7,-1.6875203247459483,3.793438844523676,-0.42508877767249054
2,-8,-1.8199733122782427,3.793438844523676,-0.42508877767249054
1,-9,-1.881954761375268,3.793438844523676,-0.42508877767249054
0,-10,-1.9424894974710187,3.793438844523676,-0.42508877767249054
-1,-11,-1.9821177056608106,3.793438844523676,-0.42508877767249054
-2,-12,-2.036784251122417,3.793438844523676,-0.42508877767249054
-3,-13,-2.0735984537079677,3.793438844523676,-0.42508877767249054
12,2,0.11676762654411571,3.7053045216767764,1.0623186018072026
11,1,-0.005575759262884981,3.7053045216767764,1.0623186018072026
10,0,-0.16073182697562657,3.7053045216767764,1.0623186018072026
9,-1,-0.3640601590326041,3.7053045216767764,1.0623186018072026
8,-2,-0.6233430473971396,3.7053045216767764,1.0623186018072026
7,-3,-0.8770797281473348,3.7053045216767764,1.0623186018072026
6,-4,-1.13291071721671,3.7053045216767764,1.0623186018072026
5,-5,-1.3634385555925923,3.7053045216767764,1.0623186018072026
4,-6,-1.5463612636561048,3.7053045216767764,1.0623186018072026
3,-7,-1.6619797090260287,3.7053045216767764,1.0623186018072026
2,-8,-1.7747969677411495,3.7053045216767764,1.0623186018072026
1,-9,-1.8430320118337786,3.7053045216767764,1.0623186018072026
0,-10,-1.8994445083765048,3.7053045216767764,1.0623186018072026
-1,-11,-1.9669848454690044,3.7053045216767764,1.0623186018072026
-2,-12,-1.9639865454230956,3.7053045216767764,1.0623186018072026
-3,-13,-2.0128870918591653,3.7053045216767764,1.0623186018072026
12,2,0.09355725582222334,-4.4973773965537065,0.40342547984342225
11,1,0.037652055140345864,-4.4973773965537065,0.40342547984342225
10,0,-0.029639009590861617,-4.4973773965537065,0.40342547984342225
9,-1,-0.10821606374070035,-4.4973773965537065,0.40342547984342225
8,-2,-0.21291595458017615,-4.4973773965537065,0.40342547984342225
7,-3,-0.29858936590756485,-4.4973773965537065,0.40342547984342225
6,-4,-0.39645530226663056,-4.4973773965537065,0.40342547984342225
5,-5,-0.516306574243478,-4.4973773965537065,0.40342547984342225
4,-6,-0.6569003898610938,-4.4973773965537065,0.40342547984342225
3,-7,-0.7727654835490606,-4.4973773965537065,0.40342547984342225
2,-8,-0.9037905787945697,-4.4973773965537065,0.40342547984342225
1,-9,-1.0416133296425276,-4.4973773965537065,0.40342547984342225
0,-10,-1.1629339828056604,-4.4973773965537065,0.40342547984342225
-1,-11,-1.2851432833443983,-4.4973773965537065,0.40342547984342225
-2,-12,-1.376027561423263,-4.4973773965537065,0.40342547984342225
-3,-13,-1.4619868468065085,-4.4973773965537065,0.40342547984342225
12,2,-0.2526232053523043,3.959849430591154,4.03892317776201
11,1,-0.37867901771402956,3.959849430591154,4.03892317776201
10,0,-0.5887115223001311,3.959849430591154,4.03892317776201
9,-1,-0.7836970268964827,3.959849430591154,4.03892317776201
8,-2,-0.9818209921371676,3.959849430591154,4.03892317776201
7,-3,-1.1508893217928302,3.959849430591154,4.03892317776201
6,-4,-1.3163004371626423,3.959849430591154,4.03892317776201
5,-5,-1.4660262721205943,3.959849430591154,4.03892317776201
4,-6,-1.586404469064055,3.959849430591154,4.03892317776201
3,-7,-1.6724276553244064,3.959849430591154,4.03892317776201
2,-8,-1.7370396550238751,3.959849430591154,4.03892317776201
1,-9,-1.800359866649342,3.959849430591154,4.03892317776201
0,-10,-1.828687366602621,3.959849430591154,4.03892317776201
-1,-11,-1.875206485123937,3.959849430591154,4.03892317776201
-2,-12,-1.9214443989670935,3.959849430591154,4.03892317776201
-3,-13,-1.9551949270217615,3.959849430591154,4.03892317776201
12,2,0.478904502441839,3.132535012823311,-2.536060352249848
11,1,0.43577516037375197,3.132535012823311,-2.536060352249848
10,0,0.3472878763645989,3.132535012823311,-2.536060352249848
9,-1,0.2554079712657265,3.132535012823311,-2.536060352249848
8,-2,0.11529184201034359,3.132535012823311,-2.536060352249848
7,-3,-0.10307821178952395,3.132535012823311,-2.536060352249848
6,-4,-0.4757793721883603,3.132535012823311,-2.536060352249848
5,-5,-0.9303999519178565,3.132535012823311,-2.536060352249848
4,-6,-1.307197834932606,3.132535012823311,-2.536060352249848
3,-7,-1.585915844240691,3.132535012823311,-2.536060352249848
2,-8,-1.760957708442754,3.132535012823311,-2.536060352249848
1,-9,-1.8836452965519652,3.132535012823311,-2.536060352249848
0,-10,-1.9791605513227182,3.132535012823311,-2.536060352249848
-1,-11,-2.014873200865557,3.132535012823311,-2.536060352249848
-2,-12,-2.056668957972878,3.132535012823311,-2.536060352249848
